X 89 vars=V0:76,V2:524,V4:156,V7:550,V8:637,V8:670,V9:182,V10:94,V10:654,V11:102 unsat=C0:221,C0:733
X 90 vars=V0:76,V2:524,V4:668,V6:6,V6:590,V7:550,V8:381,V8:710,V9:486,V11:630 unsat=C1:413,C1:669
X 91 vars=V0:76,V2:612,V4:596,V6:6,V7:38,V7:605,V8:158,V9:446,V9:694,V10:142 unsat=C0:93,C0:733
X 92 vars=V0:76,V2:732,V4:140,V6:262,V6:445,V7:550,V9:182,V10:70,V10:654,V11:102 unsat=C0:221,C0:733
X 93 vars=V0:76,V2:764,V4:700,V6:14,V6:62,V7:22,V9:726,V10:78,V10:173,V11:102 unsat=C1:269,C1:525
X 94 vars=V0:84,V2:4,V4:452,V6:198,V6:406,V7:414,V9:94,V10:214,V10:373,V11:494 unsat=C1:469,C1:725
X 95 vars=V0:84,V2:68,V4:316,V6:398,V7:166,V7:686,V8:382,V10:246,V11:278,V11:461 unsat=C2:589,C2:717
X 96 vars=V0:84,V2:260,V4:196,V7:686,V8:390,V8:574,V9:606,V10:373,V10:766,V11:286 unsat=C2:149,C2:661
X 97 vars=V0:84,V2:276,V4:164,V7:686,V8:38,V8:69,V9:574,V10:22,V10:486,V11:494 unsat=C0:165,C0:421
X 98 vars=V0:84,V2:276,V4:676,V6:214,V6:398,V7:686,V8:78,V8:581,V9:110,V11:766 unsat=C1:357,C1:613
X 99 vars=V0:84,V2:364,V4:348,V6:398,V7:37,V7:174,V8:294,V9:70,V9:318,V10:278 unsat=C0:165,C0:293
X 100 vars=V0:84,V2:484,V4:660,V6:389,V6:654,V7:686,V9:574,V10:22,V10:206,V11:494 unsat=C0:165,C0:421
X 101 vars=V0:84,V2:588,V4:100,V6:398,V8:518,V9:294,V9:349,V10:414,V11:190,V11:438 unsat=C1:477,C1:605
X 102 vars=V0:84,V2:740,V4:660,V6:614,V6:645,V7:382,V8:294,V8:598,V9:302,V11:494 unsat=C2:229,C2:741
X 103 vars=V0:92,V2:12,V4:204,V6:30,V6:334,V7:38,V9:230,V10:350,V10:573,V11:118 unsat=C1:157,C1:669
X 104 vars=V0:92,V2:28,V4:172,V7:54,V8:174,V8:269,V9:198,V10:110,V10:158,V11:118 unsat=C0:365,C0:621
X 105 vars=V0:92,V2:28,V4:684,V6:22,V6:606,V7:54,V8:13,V8:214,V9:502,V11:134 unsat=C1:301,C1:557
X 106 vars=V0:92,V2:76,V4:68,V6:22,V7:54,V7:302,V8:6,V10:382,V11:405,V11:670 unsat=C2:533,C2:661
X 107 vars=V0:92,V2:116,V4:100,V6:22,V7:237,V7:310,V8:430,V9:462,V9:710,V10:414 unsat=C0:365,C0:493
X 108 vars=V0:92,V2:236,V4:412,V6:278,V6:333,V7:54,V9:198,V10:158,V10:342,V11:118 unsat=C0:365,C0:621
X 109 vars=V0:92,V2:268,V4:716,V7:54,V8:14,V8:198,V9:742,V10:134,V10:573,V11:678 unsat=C2:93,C2:605
X 110 vars=V0:92,V2:340,V4:108,V6:22,V8:654,V9:293,V9:686,V10:38,V11:326,V11:574 unsat=C1:421,C1:549
X 111 vars=V0:92,V2:492,V4:412,V6:238,V6:589,V7:518,V8:222,V8:430,V9:438,V11:118 unsat=C2:173,C2:685
X 112 vars=V0:98,V6:372,V6:508,V7:404,V8:548,V8:700,V9:292,V10:124,V11:60,V11:620 unsat=C0:596,C0:707
