X 83 vars=V0:13,V2:289,V4:99,V7:171,V9:433,V11:13 unsat=C2:29,C2:101
X 84 vars=V0:13,V2:431,V4:275,V7:647,V9:229,V11:203 unsat=C0:447,C0:519
X 85 vars=V0:14,V1:158,V2:425,V3:64,V4:500,V5:362 unsat=C1:355,C1:463
X 86 vars=V0:14,V1:517,V2:89,V3:275,V4:575,V5:71 unsat=C0:484,C0:592
X 87 vars=V0:14,V1:524,V2:176,V3:320,V4:587,V5:226 unsat=C2:517,C2:625
X 88 vars=V0:14,V2:72,V4:132,V7:504,V9:266,V11:492 unsat=C0:412,C0:484
X 89 vars=V0:14,V2:400,V4:170,V7:590,V9:386,V11:292 unsat=C1:510,C1:582
X 90 vars=V0:14,V2:506,V4:460,V7:568,V9:434,V11:230 unsat=C2:354,C2:426
X 91 vars=V0:15,V1:159,V2:534,V3:245,V4:177,V5:147 unsat=C1:428,C1:536
X 92 vars=V0:15,V1:590,V2:306,V3:600,V4:468,V5:612 unsat=C0:449,C0:557
X 93 vars=V0:15,V1:633,V2:501,V3:645,V4:372,V5:83 unsat=C2:266,C2:374
X 94 vars=V0:15,V2:75,V4:173,V7:317,V9:435,V11:447 unsat=C2:31,C2:103
X 95 vars=V0:15,V2:361,V4:637,V7:361,V9:303,V11:133 unsat=C0:377,C0:449
X 96 vars=V0:15,V2:545,V4:603,V7:375,V9:387,V11:473 unsat=C1:43,C1:619
X 97 vars=V0:16,V1:15,V2:523,V3:277,V4:361,V5:505 unsat=C0:414,C0:522
X 98 vars=V0:16,V1:94,V2:178,V3:322,V4:157,V5:588 unsat=C2:15,C2:123
X 99 vars=V0:16,V1:160,V2:643,V3:426,V4:502,V5:580 unsat=C1:501,C1:609
X 100 vars=V0:16,V2:2,V4:494,V7:218,V9:340,V11:422 unsat=C0:342,C0:414
X 101 vars=V0:16,V2:42,V4:388,V7:160,V9:388,V11:6 unsat=C1:80,C1:152
X 102 vars=V0:16,V2:292,V4:534,V7:66,V9:436,V11:16 unsat=C2:356,C2:428
X 103 vars=V0:17,V1:88,V2:92,V3:602,V4:254,V5:398 unsat=C0:379,C0:487
X 104 vars=V0:17,V1:161,V2:104,V3:607,V4:179,V5:365 unsat=C1:34,C1:574
X 105 vars=V0:17,V1:203,V2:503,V3:647,V4:590,V5:445 unsat=C2:412,C2:520
X 106 vars=V0:17,V2:187,V4:173,V7:593,V9:389,V11:187 unsat=C1:189,C1:261
X 107 vars=V0:17,V2:291,V4:351,V7:75,V9:377,V11:63 unsat=C0:307,C0:379
X 108 vars=V0:17,V2:509,V4:247,V7:463,V9:437,V11:233 unsat=C2:33,C2:105
X 109 vars=V0:18,V1:161,V2:309,V3:279,V4:147,V5:291 unsat=C0:344,C0:452
X 110 vars=V0:18,V1:162,V2:213,V3:140,V4:504,V5:150 unsat=C1:107,C1:647
X 111 vars=V0:18,V1:312,V2:180,V3:324,V4:375,V5:302 unsat=C2:161,C2:269
X 112 vars=V0:18,V2:78,V4:608,V7:212,V9:438,V11:450 unsat=C2:358,C2:430
X 113 vars=V0:18,V2:332,V4:606,V7:378,V9:390,V11:368 unsat=C1:298,C1:370
X 114 vars=V0:18,V2:580,V4:208,V7:580,V9:414,V11:352 unsat=C0:272,C0:344
X 115 vars=V0:19,V1:163,V2:322,V3:321,V4:181,V5:583 unsat=C1:72,C1:180
X 116 vars=V0:19,V1:234,V2:526,V3:604,V4:40,V5:184 unsat=C0:309,C0:417
X 117 vars=V0:19,V1:421,V2:505,V3:1,V4:160,V5:159 unsat=C2:18,C2:558
X 118 vars=V0:19,V2:221,V4:65,V7:437,V9:451,V11:641 unsat=C0:237,C0:309
X 119 vars=V0:19,V2:295,V4:321,V7:609,V9:439,V11:19 unsat=C2:35,C2:107
X 120 vars=V0:19,V2:477,V4:391,V7:163,V9:391,V11:549 unsat=C1:407,C1:479
X 121 vars=V0:20,V1:164,V2:431,V3:502,V4:506,V5:368 unsat=C1:145,C1:253
X 122 vars=V0:20,V1:307,V2:95,V3:281,V4:581,V5:77 unsat=C0:274,C0:382
X 123 vars=V0:20,V1:530,V2:182,V3:326,V4:593,V5:16 unsat=C2:307,C2:415
X 124 vars=V0:20,V2:510,V4:570,V7:294,V9:488,V11:282 unsat=C0:202,C0:274
X 125 vars=V0:20,V2:512,V4:34,V7:358,V9:440,V11:236 unsat=C2:360,C2:432
X 126 vars=V0:20,V2:622,V4:176,V7:596,V9:392,V11:82 unsat=C1:516,C1:588
X 127 vars=V0:21,V1:165,V2:540,V3:35,V4:183,V5:153 unsat=C1:218,C1:326
X 128 vars=V0:21,V1:380,V2:312,V3:606,V4:474,V5:618 unsat=C0:239,C0:347
X 129 vars=V0:21,V1:639,V2:507,V3:3,V4:378,V5:521 unsat=C2:56,C2:164
X 130 vars=V0:21,V2:81,V4:395,V7:107,V9:441,V11:453 unsat=C2:37,C2:109
X 131 vars=V0:21,V2:119,V4:609,V7:381,V9:393,V11:263 unsat=C1:49,C1:625
X 132 vars=V0:21,V2:151,V4:427,V7:151,V9:525,V11:571 unsat=C0:167,C0:239
X 133 vars=V0:22,V1:100,V2:184,V3:328,V4:163,V5:378 unsat=C2:453,C2:561
X 134 vars=V0:22,V1:166,V2:1,V3:216,V4:508,V5:586 unsat=C1:291,C1:399
X 135 vars=V0:22,V1:453,V2:529,V3:283,V4:367,V5:511 unsat=C0:204,C0:312
X 136 vars=V0:22,V2:264,V4:394,V7:166,V9:394,V11:444 unsat=C1:86,C1:158
X 137 vars=V0:22,V2:298,V4:108,V7:504,V9:442,V11:22 unsat=C2:362,C2:434
X 138 vars=V0:22,V2:440,V4:284,V7:8,V9:562,V11:212 unsat=C0:132,C0:204
X 139 vars=V0:23,V1:167,V2:110,V3:397,V4:185,V5:371 unsat=C1:364,C1:472
X 140 vars=V0:23,V1:209,V2:509,V3:5,V4:596,V5:235 unsat=C2:202,C2:310
X 141 vars=V0:23,V1:526,V2:98,V3:608,V4:260,V5:404 unsat=C0:169,C0:277
X 142 vars=V0:23,V2:81,V4:141,V7:513,V9:599,V11:501 unsat=C0:97,C0:169
X 143 vars=V0:23,V2:409,V4:179,V7:599,V9:395,V11:625 unsat=C1:195,C1:267
X 144 vars=V0:23,V2:515,V4:469,V7:253,V9:443,V11:239 unsat=C2:39,C2:111
X 145 vars=V0:24,V1:168,V2:219,V3:578,V4:510,V5:156 unsat=C1:437,C1:545
X 146 vars=V0:24,V1:318,V2:186,V3:330,V4:381,V5:92 unsat=C2:59,C2:599
X 147 vars=V0:24,V1:599,V2:315,V3:285,V4:153,V5:297 unsat=C0:134,C0:242
X 148 vars=V0:24,V2:84,V4:182,V7:2,V9:444,V11:456 unsat=C2:364,C2:436
X 149 vars=V0:24,V2:370,V4:646,V7:370,V9:636,V11:142 unsat=C0:62,C0:134
X 150 vars=V0:24,V2:554,V4:612,V7:384,V9:396,V11:158 unsat=C1:304,C1:376
X 151 vars=V0:25,V1:24,V2:532,V3:610,V4:46,V5:190 unsat=C0:99,C0:207
X 152 vars=V0:25,V1:169,V2:328,V3:111,V4:187,V5:589 unsat=C1:510,C1:618
X 153 vars=V0:25,V1:427,V2:511,V3:7,V4:166,V5:597 unsat=C2:348,C2:456
X 154 vars=V0:25,V2:11,V4:503,V7:227,V9:25,V11:431 unsat=C0:27,C0:99
X 155 vars=V0:25,V2:51,V4:397,V7:169,V9:397,V11:339 unsat=C1:413,C1:485
X 156 vars=V0:25,V2:301,V4:543,V7:399,V9:445,V11:25 unsat=C2:41,C2:113
X 157 vars=V0:26,V1:97,V2:101,V3:287,V4:587,V5:83 unsat=C0:64,C0:172
X 158 vars=V0:26,V1:170,V2:437,V3:292,V4:512,V5:374 unsat=C1:43,C1:583
X 159 vars=V0:26,V1:536,V2:188,V3:332,V4:599,V5:454 unsat=C2:97,C2:205
X 160 vars=V0:26,V2:196,V4:182,V7:602,V9:398,V11:520 unsat=C1:522,C1:594
X 161 vars=V0:26,V2:300,V4:360,V7:84,V9:62,V11:72 unsat=C0:64,C0:640
